{15.9734133335172, 0.7440600160965557 - 0.6664522756104322*I}
{16.441007954414125, 0.6963964188248967 - 0.7151624125373164*I}
{16.930446423608338, 0.6439660422935768 - 0.7617159263197254*I}
{17.442979767230547, 0.5867535423315459 - 0.8056493095481058*I}
{17.979944318802545, 0.5247975309188835 - 0.8464648153741996*I}
{18.542768460051175, 0.458196950256005 - 0.8836310964286432*I}
{19.132979968376496, 0.38711720915844705 - 0.9165848968143733*I}
{19.75221403234103, 0.31179596542807586 - 0.9447340540490973*I}
{20.40222200345161, 0.23254843949513523 - 0.967462076672166*I}
{21.084880960266624, 0.1497721473135004 - 0.9841345606051439*I}
{21.80220416959598, 0.06395094303645363 - 0.9941076906075498*I}
{22.556352539402347, -0.024341737106159996 - 0.996739039801276*I}
{23.349647169114064, -0.11444054083751395 - 0.991400828094453*I}
{24.184583115599153, -0.2055868947586376 - 0.9774957278211843*I}
{25.063844507230012, -0.29692886231753096 - 0.9544752112202164*I}
{25.99032115452514, -0.3875223231252341 - 0.9218603197219593*I}
{26.96712682405959, -0.4763336662931019 - 0.8792646008700056*I}
{27.997619363004798, -0.5622442354671158 - 0.8264188079877527*I}
{29.08542288515683, -0.6440568181028382 - 0.7631967949175095*I}
{30.23445225606387, -0.7205045339385551 - 0.6896418694614918*I}
{31.448940145363398, -0.7902625433421958 - 0.6059927022987334*I}
{32.7334669492622, -0.851963058756894 - 0.5127077323287497*I}
{34.092993925910605, -0.904214192947614 - 0.41048687490476504*I}
{35.53289993202139, -0.945623204796221 - 0.30028923720806244*I}
{37.059022201385325, -0.9748246933963267 - 0.18334548603310916*I}
{38.67770166601895, -0.990514228823218 - 0.06116350770311635*I}
{40.395833389817405, -0.9914877770130708 + 0.06447394368512721*I}
{42.22092276427264, -0.9766870609453651 + 0.1915207888767418*I}
{44.16114820782206, -0.945250687227455 + 0.3176893406112374*I}
{46.225431216804985, -0.8965704469886955 + 0.44048291382993526*I}
{48.42351473930116, -0.8303516702412236 + 0.5572397183588176*I}
{50.76605098624853, -0.746675880527583 + 0.6651880406579013*I}
{53.26469996068887, -0.6460632807840515 + 0.7615122989405883*I}
{55.93224017994595, -0.5295318352957931 + 0.8434291115773087*I}
{58.78269329199503, -0.3986489457663489 + 0.9082720710970419*I}
{61.83146455221958, -0.25557101768433976 + 0.9535834836576246*I}
{65.09550143735744, -0.10306565752899459 + 0.9772109320256958*I}
{68.59347303837006, 0.05548907461990392 + 0.97740615896778*I}
{72.34597330367161, 0.21613390850027514 + 0.9529234500702132*I}
{76.37575171127328, 0.37439119138307064 + 0.9031144141067461*I}
{80.70797554827573, 0.5253653984272351 + 0.8280158000956916*I}
{85.37052868744529, 0.6638838438628616 + 0.7284267312279017*I}
{90.39435259611831, 0.7846779153471508 + 0.605971452448339*I}
{95.81383632026353, 0.8826023688085499 + 0.46314336047871046*I}
{101.66726339040702, 0.9528869377662228 + 0.30332570584710894*I}
{107.99732503840062, 0.9914108936195275 + 0.13078394389871267*I}
{114.85171084670486, 0.9949874822550782 - 0.049375680464229146*I}
